,countyCode,County,State,county_state,total_claims
114,05043,Drew,AR,"Drew County, AR",653488.0
115,05045,Faulkner,AR,"Faulkner County, AR",7782235.0
116,05047,Franklin,AR,"Franklin County, AR",721221.0
117,05049,Fulton,AR,"Fulton County, AR",1086835.0
118,05051,Garland,AR,"Garland County, AR",3996757.0
119,05053,Grant,AR,"Grant County, AR",88781.0
120,05055,Greene,AR,"Greene County, AR",926980.0
121,05057,Hempstead,AR,"Hempstead County, AR",588122.0
122,05059,Hot Spring,AR,"Hot Spring County, AR",101294.0
123,05061,Howard,AR,"Howard County, AR",162387.0
124,05063,Independence,AR,"Independence County, AR",2206011.0
125,05065,Izard,AR,"Izard County, AR",2292299.0
126,05067,Jackson,AR,"Jackson County, AR",2961732.0
127,05069,Jefferson,AR,"Jefferson County, AR",13865405.0
128,05071,Johnson,AR,"Johnson County, AR",34108.0
129,05073,Lafayette,AR,"Lafayette County, AR",101875.0
130,05075,Lawrence,AR,"Lawrence County, AR",857946.0
131,05077,Lee,AR,"Lee County, AR",326655.0
132,05079,Lincoln,AR,"Lincoln County, AR",1010913.0
133,05081,Little River,AR,"Little River County, AR",81504.0
134,05083,Logan,AR,"Logan County, AR",78179.0
135,05085,Lonoke,AR,"Lonoke County, AR",1095190.0
136,05087,Madison,AR,"Madison County, AR",112499.0
137,05089,Marion,AR,"Marion County, AR",104325.0
138,05091,Miller,AR,"Miller County, AR",2475760.0
139,05093,Mississippi,AR,"Mississippi County, AR",1644283.0
140,05095,Monroe,AR,"Monroe County, AR",3805475.0
141,05097,Montgomery,AR,"Montgomery County, AR",1390403.0
142,05099,Nevada,AR,"Nevada County, AR",5209.0
143,05101,Newton,AR,"Newton County, AR",119094.0
144,05103,Ouachita,AR,"Ouachita County, AR",1327999.0
145,05105,Perry,AR,"Perry County, AR",1321880.0
146,05107,Phillips,AR,"Phillips County, AR",3536988.0
147,05109,Pike,AR,"Pike County, AR",377039.0
148,05111,Poinsett,AR,"Poinsett County, AR",1657919.0
149,05113,Polk,AR,"Polk County, AR",191764.0
150,05115,Pope,AR,"Pope County, AR",931070.0
151,05117,Prairie,AR,"Prairie County, AR",2661433.0
152,05119,Pulaski,AR,"Pulaski County, AR",28234437.0
153,05121,Randolph,AR,"Randolph County, AR",8761762.0
154,05123,St. Francis,AR,"St. Francis County, AR",446887.0
155,05125,Saline,AR,"Saline County, AR",5630705.0
156,05127,Scott,AR,"Scott County, AR",1019487.0
157,05131,Sebastian,AR,"Sebastian County, AR",17600264.0
158,05133,Sevier,AR,"Sevier County, AR",739523.0
159,05135,Sharp,AR,"Sharp County, AR",1807893.0
160,05137,Stone,AR,"Stone County, AR",202046.0
161,05139,Union,AR,"Union County, AR",1320017.0
162,05141,Van Buren,AR,"Van Buren County, AR",505386.0
163,05143,Washington,AR,"Washington County, AR",10291895.0
164,05145,White,AR,"White County, AR",2971595.0
165,05147,Woodruff,AR,"Woodruff County, AR",1533581.0
166,05149,Yell,AR,"Yell County, AR",147131.0
167,06001,Alameda,CA,"Alameda County, CA",2381428.0
168,06003,Alpine,CA,"Alpine County, CA",45997.0
169,06005,Amador,CA,"Amador County, CA",877351.0
170,06007,Butte,CA,"Butte County, CA",6095086.0
171,06009,Calaveras,CA,"Calaveras County, CA",1227949.0
172,06011,Colusa,CA,"Colusa County, CA",2962702.0
173,06013,Contra Costa,CA,"Contra Costa County, CA",10236619.0
174,06015,Del Norte,CA,"Del Norte County, CA",454598.0
175,06017,El Dorado,CA,"El Dorado County, CA",3271349.0
176,06019,Fresno,CA,"Fresno County, CA",2025681.0
177,06021,Glenn,CA,"Glenn County, CA",2292105.0
178,06023,Humboldt,CA,"Humboldt County, CA",2411566.0
179,06025,Imperial,CA,"Imperial County, CA",657043.0
180,06027,Inyo,CA,"Inyo County, CA",11669.0
181,06029,Kern,CA,"Kern County, CA",1437088.0
182,06031,Kings,CA,"Kings County, CA",12346.0
183,06033,Lake,CA,"Lake County, CA",13874183.0
184,06035,Lassen,CA,"Lassen County, CA",1045614.0
185,06037,Los Angeles,CA,"Los Angeles County, CA",64018063.0
186,06039,Madera,CA,"Madera County, CA",312743.0
187,06041,Marin,CA,"Marin County, CA",50054566.0
188,06045,Mendocino,CA,"Mendocino County, CA",4228884.0
189,06047,Merced,CA,"Merced County, CA",4501213.0
190,06051,Mono,CA,"Mono County, CA",358675.0
191,06053,Monterey,CA,"Monterey County, CA",28863122.0
192,06055,Napa,CA,"Napa County, CA",29759404.0
193,06057,Nevada,CA,"Nevada County, CA",1145373.0
194,06059,Orange,CA,"Orange County, CA",19930440.0
195,06061,Placer,CA,"Placer County, CA",16319692.0
196,06063,Plumas,CA,"Plumas County, CA",1132329.0
197,06065,Riverside,CA,"Riverside County, CA",17361570.0
198,06067,Sacramento,CA,"Sacramento County, CA",35620896.0
199,06069,San Benito,CA,"San Benito County, CA",1898861.0
200,06071,San Bernardino,CA,"San Bernardino County, CA",6845442.0
201,06073,San Diego,CA,"San Diego County, CA",24868699.0
202,06075,San Francisco,CA,"San Francisco County, CA",2350341.0
203,06077,San Joaquin,CA,"San Joaquin County, CA",5741678.0
204,06079,San Luis Obispo,CA,"San Luis Obispo County, CA",4690056.0
205,06081,San Mateo,CA,"San Mateo County, CA",13588581.0
206,06083,Santa Barbara,CA,"Santa Barbara County, CA",26730391.0
207,06085,Santa Clara,CA,"Santa Clara County, CA",23642948.0
208,06087,Santa Cruz,CA,"Santa Cruz County, CA",13010132.0
209,06089,Shasta,CA,"Shasta County, CA",2725192.0
210,06091,Sierra,CA,"Sierra County, CA",592282.0
211,06093,Siskiyou,CA,"Siskiyou County, CA",469534.0
212,06095,Solano,CA,"Solano County, CA",10200543.0
213,06097,Sonoma,CA,"Sonoma County, CA",131663943.0
214,06099,Stanislaus,CA,"Stanislaus County, CA",4475634.0
215,06101,Sutter,CA,"Sutter County, CA",2959550.0
216,06103,Tehama,CA,"Tehama County, CA",4482563.0
217,06105,Trinity,CA,"Trinity County, CA",72552.0
218,06107,Tulare,CA,"Tulare County, CA",1129697.0
219,06109,Tuolumne,CA,"Tuolumne County, CA",213806.0
220,06111,Ventura,CA,"Ventura County, CA",13880457.0
221,06113,Yolo,CA,"Yolo County, CA",3281617.0
222,06115,Yuba,CA,"Yuba County, CA",8376182.0
223,08001,Adams,CO,"Adams County, CO",484762.0
224,08003,Alamosa,CO,"Alamosa County, CO",4756.0
225,08005,Arapahoe,CO,"Arapahoe County, CO",861177.0
226,08007,Archuleta,CO,"Archuleta County, CO",5330.0
227,08013,Boulder,CO,"Boulder County, CO",49384866.0
228,08014,Broomfield,CO,"Broomfield County, CO",24425.0
229,08015,Chaffee,CO,"Chaffee County, CO",307142.0
230,08019,Clear Creek,CO,"Clear Creek County, CO",54081.0
231,08021,Conejos,CO,"Conejos County, CO",5183.0
232,08023,Costilla,CO,"Costilla County, CO",10317.0
233,08025,Crowley,CO,"Crowley County, CO",0.0
234,08027,Custer,CO,"Custer County, CO",769.0
235,08029,Delta,CO,"Delta County, CO",86062.0
236,08031,Denver,CO,"Denver County, CO",716048.0
237,08035,Douglas,CO,"Douglas County, CO",522447.0
238,08037,Eagle,CO,"Eagle County, CO",335357.0
239,08039,Elbert,CO,"Elbert County, CO",0.0
240,08041,El Paso,CO,"El Paso County, CO",5862037.0
241,08043,Fremont,CO,"Fremont County, CO",343587.0
242,08045,Garfield,CO,"Garfield County, CO",77005.0
243,08047,Gilpin,CO,"Gilpin County, CO",1462.0
244,08049,Grand,CO,"Grand County, CO",46179.0
245,08051,Gunnison,CO,"Gunnison County, CO",89012.0
246,08053,Hinsdale,CO,"Hinsdale County, CO",0.0
247,08055,Huerfano,CO,"Huerfano County, CO",1116.0
248,08059,Jefferson,CO,"Jefferson County, CO",2125299.0
249,08065,Lake,CO,"Lake County, CO",2582.0
250,08067,La Plata,CO,"La Plata County, CO",827403.0
251,08069,Larimer,CO,"Larimer County, CO",14781700.0
252,08071,Las Animas,CO,"Las Animas County, CO",10992.0
253,08073,Lincoln,CO,"Lincoln County, CO",4362.0
254,08075,Logan,CO,"Logan County, CO",847746.0
255,08077,Mesa,CO,"Mesa County, CO",302473.0
256,08083,Montezuma,CO,"Montezuma County, CO",19603.0
257,08085,Montrose,CO,"Montrose County, CO",60127.0
258,08087,Morgan,CO,"Morgan County, CO",451939.0
259,08089,Otero,CO,"Otero County, CO",1699849.0
260,08091,Ouray,CO,"Ouray County, CO",33726.0
261,08093,Park,CO,"Park County, CO",343.0
262,08095,Phillips,CO,"Phillips County, CO",7402.0
263,08097,Pitkin,CO,"Pitkin County, CO",234877.0
264,08099,Prowers,CO,"Prowers County, CO",29726.0
265,08101,Pueblo,CO,"Pueblo County, CO",332050.0
266,08103,Rio Blanco,CO,"Rio Blanco County, CO",31031.0
267,08105,Rio Grande,CO,"Rio Grande County, CO",14318.0
268,08107,Routt,CO,"Routt County, CO",414729.0
269,08109,Saguache,CO,"Saguache County, CO",5442.0
270,08111,San Juan,CO,"San Juan County, CO",1144.0
271,08113,San Miguel,CO,"San Miguel County, CO",132604.0
272,08117,Summit,CO,"Summit County, CO",15738.0
273,08119,Teller,CO,"Teller County, CO",12025.0
274,08123,Weld,CO,"Weld County, CO",5499411.0
275,08125,Yuma,CO,"Yuma County, CO",62078.0
276,09001,Fairfield,CT,"Fairfield County, CT",282626648.0
277,09003,Hartford,CT,"Hartford County, CT",15025060.0
278,09005,Litchfield,CT,"Litchfield County, CT",6267511.0
279,09007,Middlesex,CT,"Middlesex County, CT",37691915.0
280,09009,New Haven,CT,"New Haven County, CT",164779274.0
281,09011,New London,CT,"New London County, CT",30095837.0
282,09013,Tolland,CT,"Tolland County, CT",1776298.0
283,09015,Windham,CT,"Windham County, CT",1796814.0
284,10001,Kent,DE,"Kent County, DE",3315254.0
285,10003,New Castle,DE,"New Castle County, DE",49013744.0
286,10005,Sussex,DE,"Sussex County, DE",35332841.0
287,11001,District of Columbia,DC,"District of Columbia County, DC",5136053.0
288,12001,Alachua,FL,"Alachua County, FL",8672759.0
289,12003,Baker,FL,"Baker County, FL",2589299.0
290,12005,Bay,FL,"Bay County, FL",345311657.0
291,12007,Bradford,FL,"Bradford County, FL",4034342.0
292,12009,Brevard,FL,"Brevard County, FL",57798903.0
293,12011,Broward,FL,"Broward County, FL",179561993.0
294,12013,Calhoun,FL,"Calhoun County, FL",2068055.0
295,12015,Charlotte,FL,"Charlotte County, FL",16881061.0
296,12017,Citrus,FL,"Citrus County, FL",112199331.0
297,12019,Clay,FL,"Clay County, FL",73107671.0
298,12021,Collier,FL,"Collier County, FL",75726992.0
299,12023,Columbia,FL,"Columbia County, FL",7295978.0
300,12027,DeSoto,FL,"DeSoto County, FL",4880094.0
301,12029,Dixie,FL,"Dixie County, FL",9561255.0
302,12031,Duval,FL,"Duval County, FL",203825668.0
303,12033,Escambia,FL,"Escambia County, FL",753894213.0
304,12035,Flagler,FL,"Flagler County, FL",58267070.0
305,12037,Franklin,FL,"Franklin County, FL",45484172.0
306,12039,Gadsden,FL,"Gadsden County, FL",206912.0
307,12041,Gilchrist,FL,"Gilchrist County, FL",2188658.0
308,12043,Glades,FL,"Glades County, FL",393826.0
309,12045,Gulf,FL,"Gulf County, FL",95680411.0
310,12047,Hamilton,FL,"Hamilton County, FL",1613643.0
311,12049,Hardee,FL,"Hardee County, FL",1814413.0
312,12051,Hendry,FL,"Hendry County, FL",671946.0
313,12053,Hernando,FL,"Hernando County, FL",39832772.0
314,12055,Highlands,FL,"Highlands County, FL",1401605.0
315,12057,Hillsborough,FL,"Hillsborough County, FL",85135905.0
316,12059,Holmes,FL,"Holmes County, FL",3425083.0
317,12061,Indian River,FL,"Indian River County, FL",61429829.0
318,12063,Jackson,FL,"Jackson County, FL",830615.0
319,12065,Jefferson,FL,"Jefferson County, FL",87982.0
320,12067,Lafayette,FL,"Lafayette County, FL",2465385.0
321,12069,Lake,FL,"Lake County, FL",3844367.0
322,12071,Lee,FL,"Lee County, FL",144102490.0
323,12073,Leon,FL,"Leon County, FL",10305730.0
324,12075,Levy,FL,"Levy County, FL",15309133.0
325,12077,Liberty,FL,"Liberty County, FL",131633.0
326,12079,Madison,FL,"Madison County, FL",1338266.0
327,12081,Manatee,FL,"Manatee County, FL",46364127.0
328,12083,Marion,FL,"Marion County, FL",4476920.0
329,12085,Martin,FL,"Martin County, FL",38494899.0
330,12086,Miami-Dade,FL,"Miami-Dade County, FL",807305116.0
331,12087,Monroe,FL,"Monroe County, FL",675483935.0
332,12089,Nassau,FL,"Nassau County, FL",10493406.0
333,12091,Okaloosa,FL,"Okaloosa County, FL",285519989.0
334,12093,Okeechobee,FL,"Okeechobee County, FL",1921426.0
335,12095,Orange,FL,"Orange County, FL",8492435.0
336,12097,Osceola,FL,"Osceola County, FL",3918758.0
337,12099,Palm Beach,FL,"Palm Beach County, FL",64470375.0
338,12101,Pasco,FL,"Pasco County, FL",135985106.0
339,12103,Pinellas,FL,"Pinellas County, FL",260494525.0
340,12105,Polk,FL,"Polk County, FL",15672042.0
341,12107,Putnam,FL,"Putnam County, FL",8435472.0
342,12109,St. Johns,FL,"St. Johns County, FL",219124966.0
343,12111,St. Lucie,FL,"St. Lucie County, FL",83600305.0
344,12113,Santa Rosa,FL,"Santa Rosa County, FL",534371427.0
345,12115,Sarasota,FL,"Sarasota County, FL",44572396.0
346,12117,Seminole,FL,"Seminole County, FL",10886733.0
347,12119,Sumter,FL,"Sumter County, FL",728757.0
348,12121,Suwannee,FL,"Suwannee County, FL",5323309.0
349,12123,Taylor,FL,"Taylor County, FL",9894980.0
350,12125,Union,FL,"Union County, FL",506792.0
351,12127,Volusia,FL,"Volusia County, FL",115874140.0
352,12129,Wakulla,FL,"Wakulla County, FL",32204134.0
353,12131,Walton,FL,"Walton County, FL",71010351.0
354,12133,Washington,FL,"Washington County, FL",4918484.0
355,13001,Appling,GA,"Appling County, GA",249167.0
356,13003,Atkinson,GA,"Atkinson County, GA",1640.0
357,13007,Baker,GA,"Baker County, GA",642095.0
358,13009,Baldwin,GA,"Baldwin County, GA",80936.0
359,13011,Banks,GA,"Banks County, GA",106916.0
360,13013,Barrow,GA,"Barrow County, GA",346186.0
361,13015,Bartow,GA,"Bartow County, GA",536250.0
362,13017,Ben Hill,GA,"Ben Hill County, GA",179440.0
363,13019,Berrien,GA,"Berrien County, GA",72685.0
364,13021,Bibb,GA,"Bibb County, GA",3148547.0
365,13023,Bleckley,GA,"Bleckley County, GA",6203.0
366,13025,Brantley,GA,"Brantley County, GA",382238.0
367,13027,Brooks,GA,"Brooks County, GA",219927.0
368,13029,Bryan,GA,"Bryan County, GA",3321294.0
369,13031,Bulloch,GA,"Bulloch County, GA",795187.0
370,13033,Burke,GA,"Burke County, GA",1275.0
371,13035,Butts,GA,"Butts County, GA",395230.0
372,13037,Calhoun,GA,"Calhoun County, GA",100706.0
373,13039,Camden,GA,"Camden County, GA",5944488.0
374,13043,Candler,GA,"Candler County, GA",3538.0
375,13045,Carroll,GA,"Carroll County, GA",5465108.0
376,13047,Catoosa,GA,"Catoosa County, GA",5031921.0
377,13049,Charlton,GA,"Charlton County, GA",1059740.0
378,13051,Chatham,GA,"Chatham County, GA",78679180.0
379,13053,Chattahoochee,GA,"Chattahoochee County, GA",2420.0
380,13055,Chattooga,GA,"Chattooga County, GA",1539611.0
381,13057,Cherokee,GA,"Cherokee County, GA",5570062.0
382,13059,Clarke,GA,"Clarke County, GA",155579.0
383,13063,Clayton,GA,"Clayton County, GA",2258710.0
384,13065,Clinch,GA,"Clinch County, GA",1100.0
385,13067,Cobb,GA,"Cobb County, GA",63376271.0
386,13069,Coffee,GA,"Coffee County, GA",987763.0
387,13071,Colquitt,GA,"Colquitt County, GA",1242418.0
388,13073,Columbia,GA,"Columbia County, GA",1028608.0
389,13075,Cook,GA,"Cook County, GA",135091.0
390,13077,Coweta,GA,"Coweta County, GA",408419.0
391,13081,Crisp,GA,"Crisp County, GA",2096082.0
392,13083,Dade,GA,"Dade County, GA",108696.0
393,13085,Dawson,GA,"Dawson County, GA",4141.0
394,13087,Decatur,GA,"Decatur County, GA",4789204.0
395,13089,DeKalb,GA,"DeKalb County, GA",27282398.0
396,13091,Dodge,GA,"Dodge County, GA",0.0
397,13093,Dooly,GA,"Dooly County, GA",242509.0
398,13095,Dougherty,GA,"Dougherty County, GA",28541881.0
399,13097,Douglas,GA,"Douglas County, GA",6895322.0
400,13099,Early,GA,"Early County, GA",958245.0
401,13103,Effingham,GA,"Effingham County, GA",363898.0
402,13105,Elbert,GA,"Elbert County, GA",13732.0
403,13107,Emanuel,GA,"Emanuel County, GA",4057.0
404,13109,Evans,GA,"Evans County, GA",11331.0
405,13111,Fannin,GA,"Fannin County, GA",726148.0
406,13113,Fayette,GA,"Fayette County, GA",1768074.0
407,13115,Floyd,GA,"Floyd County, GA",3398879.0
408,13117,Forsyth,GA,"Forsyth County, GA",1091174.0
409,13119,Franklin,GA,"Franklin County, GA",12218.0
410,13121,Fulton,GA,"Fulton County, GA",78479197.0
411,13123,Gilmer,GA,"Gilmer County, GA",5165533.0
412,13127,Glynn,GA,"Glynn County, GA",41713947.0
413,13129,Gordon,GA,"Gordon County, GA",743689.0
414,13131,Grady,GA,"Grady County, GA",172223.0
415,13133,Greene,GA,"Greene County, GA",5839.0
416,13135,Gwinnett,GA,"Gwinnett County, GA",10075853.0
417,13137,Habersham,GA,"Habersham County, GA",3364616.0
418,13139,Hall,GA,"Hall County, GA",699540.0
419,13143,Haralson,GA,"Haralson County, GA",40300.0
420,13145,Harris,GA,"Harris County, GA",118019.0
421,13147,Hart,GA,"Hart County, GA",0.0
422,13149,Heard,GA,"Heard County, GA",3101.0
423,13151,Henry,GA,"Henry County, GA",633483.0
424,13153,Houston,GA,"Houston County, GA",2083248.0
425,13155,Irwin,GA,"Irwin County, GA",1432.0
426,13157,Jackson,GA,"Jackson County, GA",74223.0
427,13159,Jasper,GA,"Jasper County, GA",116075.0
428,13161,Jeff Davis,GA,"Jeff Davis County, GA",47574.0
429,13163,Jefferson,GA,"Jefferson County, GA",2300.0
430,13165,Jenkins,GA,"Jenkins County, GA",58351.0
431,13167,Johnson,GA,"Johnson County, GA",36634.0
432,13169,Jones,GA,"Jones County, GA",38754.0
433,13171,Lamar,GA,"Lamar County, GA",15538.0
434,13173,Lanier,GA,"Lanier County, GA",9071.0
435,13175,Laurens,GA,"Laurens County, GA",1285721.0
436,13177,Lee,GA,"Lee County, GA",17639898.0
437,13179,Liberty,GA,"Liberty County, GA",2464235.0
438,13183,Long,GA,"Long County, GA",19347.0
439,13185,Lowndes,GA,"Lowndes County, GA",2523142.0
440,13187,Lumpkin,GA,"Lumpkin County, GA",150084.0
441,13191,McIntosh,GA,"McIntosh County, GA",805913.0
442,13193,Macon,GA,"Macon County, GA",37710.0
443,13195,Madison,GA,"Madison County, GA",1448.0
444,13201,Miller,GA,"Miller County, GA",333766.0
445,13205,Mitchell,GA,"Mitchell County, GA",2100772.0
446,13207,Monroe,GA,"Monroe County, GA",2669232.0
447,13209,Montgomery,GA,"Montgomery County, GA",442288.0
448,13211,Morgan,GA,"Morgan County, GA",0.0
449,13213,Murray,GA,"Murray County, GA",582442.0
450,13215,Muscogee,GA,"Muscogee County, GA",2117458.0
451,13217,Newton,GA,"Newton County, GA",525208.0
452,13219,Oconee,GA,"Oconee County, GA",3940.0
453,13223,Paulding,GA,"Paulding County, GA",873386.0
454,13225,Peach,GA,"Peach County, GA",70632.0
455,13227,Pickens,GA,"Pickens County, GA",285357.0
456,13229,Pierce,GA,"Pierce County, GA",344847.0
457,13231,Pike,GA,"Pike County, GA",13441.0
458,13233,Polk,GA,"Polk County, GA",979106.0
459,13235,Pulaski,GA,"Pulaski County, GA",254324.0
460,13237,Putnam,GA,"Putnam County, GA",2370.0
461,13239,Quitman,GA,"Quitman County, GA",335.0
462,13241,Rabun,GA,"Rabun County, GA",357653.0
463,13243,Randolph,GA,"Randolph County, GA",2071.0
464,13245,Richmond,GA,"Richmond County, GA",4042109.0
465,13247,Rockdale,GA,"Rockdale County, GA",1123185.0
466,13251,Screven,GA,"Screven County, GA",0.0
467,13253,Seminole,GA,"Seminole County, GA",1714989.0
468,13255,Spalding,GA,"Spalding County, GA",153491.0
469,13257,Stephens,GA,"Stephens County, GA",101529.0
470,13261,Sumter,GA,"Sumter County, GA",125655.0
471,13263,Talbot,GA,"Talbot County, GA",90687.0
472,13267,Tattnall,GA,"Tattnall County, GA",356647.0
473,13269,Taylor,GA,"Taylor County, GA",7004.0
474,13271,Telfair,GA,"Telfair County, GA",91966.0
475,13273,Terrell,GA,"Terrell County, GA",57849.0
476,13275,Thomas,GA,"Thomas County, GA",2672161.0
477,13277,Tift,GA,"Tift County, GA",3637269.0
478,13279,Toombs,GA,"Toombs County, GA",300716.0
479,13281,Towns,GA,"Towns County, GA",240889.0
