,countyCode,County,State,county_state,Median_Value_of_Owner_Occupied_Units,vol_ins_rate
41,01083,Limestone,AL,"Limestone County, AL",158800,89.4
42,01085,Lowndes,AL,"Lowndes County, AL",70000,93.3
43,01087,Macon,AL,"Macon County, AL",80800,98.3
44,01089,Madison,AL,"Madison County, AL",186100,79.4
45,01091,Marengo,AL,"Marengo County, AL",84400,83.4
46,01093,Marion,AL,"Marion County, AL",92800,103.4
47,01095,Marshall,AL,"Marshall County, AL",128800,66.4
48,01097,Mobile,AL,"Mobile County, AL",130200,80.1
49,01099,Monroe,AL,"Monroe County, AL",102200,54.2
50,01101,Montgomery,AL,"Montgomery County, AL",129800,75.7
51,01103,Morgan,AL,"Morgan County, AL",137000,58.0
52,01105,Perry,AL,"Perry County, AL",65000,63.6
53,01107,Pickens,AL,"Pickens County, AL",96000,77.7
54,01109,Pike,AL,"Pike County, AL",120000,80.2
55,01111,Randolph,AL,"Randolph County, AL",96100,77.3
56,01113,Russell,AL,"Russell County, AL",122000,79.5
57,01115,St. Clair,AL,"St. Clair County, AL",154900,81.4
58,01117,Shelby,AL,"Shelby County, AL",211900,62.4
59,01119,Sumter,AL,"Sumter County, AL",74400,106.0
60,01121,Talladega,AL,"Talladega County, AL",105300,79.4
61,01123,Tallapoosa,AL,"Tallapoosa County, AL",109300,115.6
62,01125,Tuscaloosa,AL,"Tuscaloosa County, AL",170400,60.6
63,01127,Walker,AL,"Walker County, AL",104300,95.7
64,01129,Washington,AL,"Washington County, AL",89100,133.3
65,01131,Wilcox,AL,"Wilcox County, AL",79400,117.6
66,01133,Winston,AL,"Winston County, AL",86100,124.3
67,02020,Anchorage Municipality,AK,"Anchorage Municipality, AK",314800,80.3
68,02050,Bethel Census Area,AK,"Bethel Census Area, AK",83600,95.6
69,02068,Denali Borough,AK,"Denali Borough, AK",223000,10.0
70,02070,Dillingham Census Area,AK,"Dillingham Census Area, AK",183500,123.5
71,02090,Fairbanks North Star Borough,AK,"Fairbanks North Star Borough, AK",240000,68.0
72,02100,Haines Borough,AK,"Haines Borough, AK",254000,52.3
73,02110,Juneau City and Borough,AK,"Juneau City and Borough, AK",345900,87.5
74,02122,Kenai Peninsula Borough,AK,"Kenai Peninsula Borough, AK",242200,82.8
75,02130,Ketchikan Gateway Borough,AK,"Ketchikan Gateway Borough, AK",289900,87.5
76,02170,Matanuska-Susitna Borough,AK,"Matanuska-Susitna Borough, AK",249000,71.7
77,02180,Nome Census Area,AK,"Nome Census Area, AK",154600,109.9
78,02188,Northwest Arctic Borough,AK,"Northwest Arctic Borough, AK",141400,101.8
79,02195,Petersburg Borough,AK,"Petersburg Borough, AK",227400,85.0
80,02220,Sitka City and Borough,AK,"Sitka City and Borough, AK",358600,79.8
81,02230,Skagway Municipality,AK,"Skagway Municipality, AK",338500,100.0
82,02290,Yukon-Koyukuk Census Area,AK,"Yukon-Koyukuk Census Area, AK",76500,103.2
83,04001,Apache,AZ,"Apache County, AZ",59900,76.0
84,04003,Cochise,AZ,"Cochise County, AZ",146800,59.2
85,04005,Coconino,AZ,"Coconino County, AZ",280900,74.5
86,04007,Gila,AZ,"Gila County, AZ",165800,60.7
87,04009,Graham,AZ,"Graham County, AZ",138700,86.2
88,04011,Greenlee,AZ,"Greenlee County, AZ",83800,68.5
89,04012,La Paz,AZ,"La Paz County, AZ",79200,87.3
90,04013,Maricopa,AZ,"Maricopa County, AZ",260200,69.5
91,04015,Mohave,AZ,"Mohave County, AZ",160500,84.8
92,04017,Navajo,AZ,"Navajo County, AZ",126100,75.5
93,04019,Pima,AZ,"Pima County, AZ",184100,68.2
94,04021,Pinal,AZ,"Pinal County, AZ",183100,74.3
95,04023,Santa Cruz,AZ,"Santa Cruz County, AZ",151200,69.9
96,04025,Yavapai,AZ,"Yavapai County, AZ",252000,56.2
97,04027,Yuma,AZ,"Yuma County, AZ",127900,72.4
98,05001,Arkansas,AR,"Arkansas County, AR",88600,74.3
99,05003,Ashley,AR,"Ashley County, AR",76400,76.3
100,05005,Baxter,AR,"Baxter County, AR",133400,60.9
101,05007,Benton,AR,"Benton County, AR",183400,60.0
102,05009,Boone,AR,"Boone County, AR",124300,81.9
103,05011,Bradley,AR,"Bradley County, AR",89800,55.4
104,05013,Calhoun,AR,"Calhoun County, AR",70000,112.9
105,05015,Carroll,AR,"Carroll County, AR",136900,88.6
106,05017,Chicot,AR,"Chicot County, AR",69700,90.3
107,05019,Clark,AR,"Clark County, AR",111600,79.0
108,05021,Clay,AR,"Clay County, AR",77400,65.1
109,05023,Cleburne,AR,"Cleburne County, AR",129900,85.8
110,05027,Columbia,AR,"Columbia County, AR",81900,90.1
111,05029,Conway,AR,"Conway County, AR",107600,65.1
112,05031,Craighead,AR,"Craighead County, AR",140700,61.7
113,05033,Crawford,AR,"Crawford County, AR",115200,98.1
114,05035,Crittenden,AR,"Crittenden County, AR",114600,56.3
115,05037,Cross,AR,"Cross County, AR",86100,48.2
116,05039,Dallas,AR,"Dallas County, AR",70400,128.9
117,05041,Desha,AR,"Desha County, AR",70300,82.2
118,05043,Drew,AR,"Drew County, AR",99800,86.6
119,05045,Faulkner,AR,"Faulkner County, AR",161500,69.2
120,05047,Franklin,AR,"Franklin County, AR",100900,100.7
121,05049,Fulton,AR,"Fulton County, AR",86400,113.7
122,05051,Garland,AR,"Garland County, AR",139900,76.5
123,05053,Grant,AR,"Grant County, AR",124600,117.0
124,05055,Greene,AR,"Greene County, AR",118800,60.2
125,05057,Hempstead,AR,"Hempstead County, AR",81100,132.9
126,05059,Hot Spring,AR,"Hot Spring County, AR",96700,101.8
127,05061,Howard,AR,"Howard County, AR",95900,57.2
128,05063,Independence,AR,"Independence County, AR",98900,92.0
129,05065,Izard,AR,"Izard County, AR",82700,90.5
130,05067,Jackson,AR,"Jackson County, AR",66600,80.3
131,05069,Jefferson,AR,"Jefferson County, AR",83500,67.4
132,05071,Johnson,AR,"Johnson County, AR",103500,37.0
133,05075,Lawrence,AR,"Lawrence County, AR",76800,74.1
134,05077,Lee,AR,"Lee County, AR",74000,35.1
135,05079,Lincoln,AR,"Lincoln County, AR",76300,69.2
136,05081,Little River,AR,"Little River County, AR",77900,25.0
137,05083,Logan,AR,"Logan County, AR",99000,81.3
138,05085,Lonoke,AR,"Lonoke County, AR",142500,85.4
139,05087,Madison,AR,"Madison County, AR",120400,129.4
140,05089,Marion,AR,"Marion County, AR",120700,158.6
141,05091,Miller,AR,"Miller County, AR",109100,79.0
142,05093,Mississippi,AR,"Mississippi County, AR",84500,81.4
143,05095,Monroe,AR,"Monroe County, AR",61400,75.0
144,05097,Montgomery,AR,"Montgomery County, AR",102800,65.5
145,05103,Ouachita,AR,"Ouachita County, AR",75300,93.9
146,05105,Perry,AR,"Perry County, AR",106300,49.5
147,05107,Phillips,AR,"Phillips County, AR",70700,65.8
148,05109,Pike,AR,"Pike County, AR",84900,34.8
149,05111,Poinsett,AR,"Poinsett County, AR",78800,78.1
150,05113,Polk,AR,"Polk County, AR",99300,73.0
151,05115,Pope,AR,"Pope County, AR",126400,62.4
152,05117,Prairie,AR,"Prairie County, AR",67400,94.0
153,05119,Pulaski,AR,"Pulaski County, AR",157200,68.4
154,05121,Randolph,AR,"Randolph County, AR",87200,66.9
155,05123,St. Francis,AR,"St. Francis County, AR",64600,97.9
156,05125,Saline,AR,"Saline County, AR",156800,59.0
157,05131,Sebastian,AR,"Sebastian County, AR",123100,96.5
158,05133,Sevier,AR,"Sevier County, AR",84300,50.5
159,05135,Sharp,AR,"Sharp County, AR",80700,90.0
160,05137,Stone,AR,"Stone County, AR",121100,53.1
161,05139,Union,AR,"Union County, AR",86500,75.4
162,05141,Van Buren,AR,"Van Buren County, AR",101700,108.7
163,05143,Washington,AR,"Washington County, AR",173400,58.7
164,05145,White,AR,"White County, AR",120100,87.9
165,05147,Woodruff,AR,"Woodruff County, AR",66400,72.6
166,05149,Yell,AR,"Yell County, AR",109400,77.9
167,06001,Alameda,CA,"Alameda County, CA",769300,58.8
168,06005,Amador,CA,"Amador County, CA",313700,69.1
169,06007,Butte,CA,"Butte County, CA",271700,59.4
170,06009,Calaveras,CA,"Calaveras County, CA",319500,64.1
171,06011,Colusa,CA,"Colusa County, CA",265200,79.1
172,06013,Contra Costa,CA,"Contra Costa County, CA",625800,59.5
173,06015,Del Norte,CA,"Del Norte County, CA",218800,68.5
174,06017,El Dorado,CA,"El Dorado County, CA",460900,55.3
175,06019,Fresno,CA,"Fresno County, CA",255000,66.1
176,06021,Glenn,CA,"Glenn County, CA",233200,72.7
177,06023,Humboldt,CA,"Humboldt County, CA",313200,76.5
178,06025,Imperial,CA,"Imperial County, CA",195800,41.8
179,06027,Inyo,CA,"Inyo County, CA",269100,85.5
180,06029,Kern,CA,"Kern County, CA",213900,54.3
181,06031,Kings,CA,"Kings County, CA",215900,66.3
182,06033,Lake,CA,"Lake County, CA",219400,67.5
183,06035,Lassen,CA,"Lassen County, CA",203000,84.9
184,06037,Los Angeles,CA,"Los Angeles County, CA",583200,78.6
185,06039,Madera,CA,"Madera County, CA",251200,58.8
186,06041,Marin,CA,"Marin County, CA",995800,68.6
187,06045,Mendocino,CA,"Mendocino County, CA",377500,64.9
188,06047,Merced,CA,"Merced County, CA",252700,64.5
189,06049,Modoc,CA,"Modoc County, CA",140600,43.8
190,06051,Mono,CA,"Mono County, CA",312500,78.3
191,06053,Monterey,CA,"Monterey County, CA",516600,73.1
192,06055,Napa,CA,"Napa County, CA",635900,58.3
193,06057,Nevada,CA,"Nevada County, CA",431000,64.7
194,06059,Orange,CA,"Orange County, CA",679300,73.1
195,06061,Placer,CA,"Placer County, CA",471500,62.3
196,06063,Plumas,CA,"Plumas County, CA",242300,80.5
197,06065,Riverside,CA,"Riverside County, CA",350100,54.0
198,06067,Sacramento,CA,"Sacramento County, CA",351900,90.4
199,06069,San Benito,CA,"San Benito County, CA",551500,77.7
200,06071,San Bernardino,CA,"San Bernardino County, CA",328200,58.1
201,06073,San Diego,CA,"San Diego County, CA",563700,65.2
202,06075,San Francisco,CA,"San Francisco County, CA",1097800,84.4
203,06077,San Joaquin,CA,"San Joaquin County, CA",342100,68.9
204,06079,San Luis Obispo,CA,"San Luis Obispo County, CA",574000,70.2
205,06081,San Mateo,CA,"San Mateo County, CA",1089400,80.4
206,06083,Santa Barbara,CA,"Santa Barbara County, CA",577400,66.6
207,06085,Santa Clara,CA,"Santa Clara County, CA",984000,58.7
208,06087,Santa Cruz,CA,"Santa Cruz County, CA",756600,79.9
209,06089,Shasta,CA,"Shasta County, CA",252300,78.6
210,06091,Sierra,CA,"Sierra County, CA",231400,81.9
211,06093,Siskiyou,CA,"Siskiyou County, CA",198900,79.5
212,06095,Solano,CA,"Solano County, CA",406900,54.7
213,06097,Sonoma,CA,"Sonoma County, CA",609600,65.1
214,06099,Stanislaus,CA,"Stanislaus County, CA",291600,84.3
215,06101,Sutter,CA,"Sutter County, CA",279400,66.2
216,06103,Tehama,CA,"Tehama County, CA",215900,62.9
217,06105,Trinity,CA,"Trinity County, CA",287700,78.1
218,06107,Tulare,CA,"Tulare County, CA",205000,70.9
219,06109,Tuolumne,CA,"Tuolumne County, CA",289200,53.3
220,06111,Ventura,CA,"Ventura County, CA",588400,85.0
221,06113,Yolo,CA,"Yolo County, CA",424900,75.4
222,06115,Yuba,CA,"Yuba County, CA",257100,67.3
223,08001,Adams,CO,"Adams County, CO",307600,69.5
224,08003,Alamosa,CO,"Alamosa County, CO",157500,104.9
225,08005,Arapahoe,CO,"Arapahoe County, CO",358200,62.2
226,08007,Archuleta,CO,"Archuleta County, CO",314400,85.7
227,08011,Bent,CO,"Bent County, CO",81000,154.7
228,08013,Boulder,CO,"Boulder County, CO",497300,57.9
229,08014,Broomfield,CO,"Broomfield County, CO",413500,92.1
230,08015,Chaffee,CO,"Chaffee County, CO",357800,61.5
231,08019,Clear Creek,CO,"Clear Creek County, CO",378300,58.7
232,08021,Conejos,CO,"Conejos County, CO",120500,127.0
233,08023,Costilla,CO,"Costilla County, CO",113000,150.2
234,08029,Delta,CO,"Delta County, CO",241500,69.4
235,08031,Denver,CO,"Denver County, CO",390600,71.8
236,08033,Dolores,CO,"Dolores County, CO",116600,161.6
237,08035,Douglas,CO,"Douglas County, CO",468700,90.1
238,08037,Eagle,CO,"Eagle County, CO",562300,83.7
239,08039,Elbert,CO,"Elbert County, CO",463600,22.3
240,08041,El Paso,CO,"El Paso County, CO",275000,48.8
241,08043,Fremont,CO,"Fremont County, CO",174000,85.1
242,08045,Garfield,CO,"Garfield County, CO",360600,66.6
243,08047,Gilpin,CO,"Gilpin County, CO",353400,75.0
244,08049,Grand,CO,"Grand County, CO",308200,88.3
245,08051,Gunnison,CO,"Gunnison County, CO",367300,66.8
246,08053,Hinsdale,CO,"Hinsdale County, CO",350000,82.2
247,08055,Huerfano,CO,"Huerfano County, CO",161600,71.9
248,08059,Jefferson,CO,"Jefferson County, CO",397700,54.1
249,08065,Lake,CO,"Lake County, CO",232100,105.4
250,08067,La Plata,CO,"La Plata County, CO",395600,81.5
251,08069,Larimer,CO,"Larimer County, CO",363800,65.5
252,08071,Las Animas,CO,"Las Animas County, CO",151100,63.9
253,08075,Logan,CO,"Logan County, CO",157900,49.9
254,08077,Mesa,CO,"Mesa County, CO",227000,69.7
255,08081,Moffat,CO,"Moffat County, CO",182300,73.9
256,08083,Montezuma,CO,"Montezuma County, CO",222800,86.9
257,08085,Montrose,CO,"Montrose County, CO",224400,84.9
258,08087,Morgan,CO,"Morgan County, CO",201200,64.6
259,08089,Otero,CO,"Otero County, CO",94900,98.5
260,08091,Ouray,CO,"Ouray County, CO",449000,91.5
261,08093,Park,CO,"Park County, CO",327200,63.9
262,08095,Phillips,CO,"Phillips County, CO",158500,86.4
263,08097,Pitkin,CO,"Pitkin County, CO",615900,70.9
264,08099,Prowers,CO,"Prowers County, CO",106100,98.4
265,08101,Pueblo,CO,"Pueblo County, CO",164600,78.2
266,08103,Rio Blanco,CO,"Rio Blanco County, CO",197100,75.0
267,08105,Rio Grande,CO,"Rio Grande County, CO",172000,86.4
268,08107,Routt,CO,"Routt County, CO",535300,67.0
269,08111,San Juan,CO,"San Juan County, CO",322400,90.0
270,08113,San Miguel,CO,"San Miguel County, CO",479300,70.4
271,08115,Sedgwick,CO,"Sedgwick County, CO",97100,142.1
272,08117,Summit,CO,"Summit County, CO",579600,81.3
273,08119,Teller,CO,"Teller County, CO",292700,59.5
274,08121,Washington,CO,"Washington County, CO",151300,60.3
275,08123,Weld,CO,"Weld County, CO",299000,74.0
276,08125,Yuma,CO,"Yuma County, CO",191800,111.9
277,09001,Fairfield,CT,"Fairfield County, CT",428500,62.6
278,09003,Hartford,CT,"Hartford County, CT",240600,59.9
279,09005,Litchfield,CT,"Litchfield County, CT",251000,59.4
280,09007,Middlesex,CT,"Middlesex County, CT",286800,59.0
281,09009,New Haven,CT,"New Haven County, CT",248600,59.3
282,09011,New London,CT,"New London County, CT",241700,68.9
283,09013,Tolland,CT,"Tolland County, CT",253100,40.0
284,09015,Windham,CT,"Windham County, CT",204400,65.4
285,10001,Kent,DE,"Kent County, DE",220600,61.9
286,10003,New Castle,DE,"New Castle County, DE",260800,57.4
287,10005,Sussex,DE,"Sussex County, DE",258600,69.7
288,11001,District of Columbia,DC,"District of Columbia County, DC",601500,67.9
289,12001,Alachua,FL,"Alachua County, FL",186700,55.1
290,12003,Baker,FL,"Baker County, FL",138900,81.9
291,12005,Bay,FL,"Bay County, FL",178400,70.9
292,12007,Bradford,FL,"Bradford County, FL",110800,73.9
293,12009,Brevard,FL,"Brevard County, FL",196400,66.4
294,12011,Broward,FL,"Broward County, FL",265000,55.5
295,12013,Calhoun,FL,"Calhoun County, FL",85000,87.4
296,12015,Charlotte,FL,"Charlotte County, FL",195400,59.8
297,12017,Citrus,FL,"Citrus County, FL",131500,64.2
298,12019,Clay,FL,"Clay County, FL",185400,79.0
299,12021,Collier,FL,"Collier County, FL",360800,62.3
300,12023,Columbia,FL,"Columbia County, FL",124200,67.3
301,12027,DeSoto,FL,"DeSoto County, FL",87700,88.8
302,12029,Dixie,FL,"Dixie County, FL",78500,63.3
303,12031,Duval,FL,"Duval County, FL",180700,71.1
304,12033,Escambia,FL,"Escambia County, FL",146200,72.7
305,12035,Flagler,FL,"Flagler County, FL",217500,69.9
306,12037,Franklin,FL,"Franklin County, FL",166000,68.9
307,12039,Gadsden,FL,"Gadsden County, FL",96800,81.3
308,12041,Gilchrist,FL,"Gilchrist County, FL",104800,77.8
309,12043,Glades,FL,"Glades County, FL",76700,91.9
310,12045,Gulf,FL,"Gulf County, FL",160700,78.8
311,12047,Hamilton,FL,"Hamilton County, FL",80100,78.0
312,12049,Hardee,FL,"Hardee County, FL",83400,95.2
313,12051,Hendry,FL,"Hendry County, FL",94500,67.6
314,12053,Hernando,FL,"Hernando County, FL",142500,62.4
315,12055,Highlands,FL,"Highlands County, FL",108100,71.1
316,12057,Hillsborough,FL,"Hillsborough County, FL",216300,58.5
317,12059,Holmes,FL,"Holmes County, FL",92700,80.4
318,12061,Indian River,FL,"Indian River County, FL",202300,63.8
319,12063,Jackson,FL,"Jackson County, FL",99000,89.4
320,12065,Jefferson,FL,"Jefferson County, FL",133500,76.7
321,12067,Lafayette,FL,"Lafayette County, FL",104700,75.5
322,12069,Lake,FL,"Lake County, FL",181400,76.8
323,12071,Lee,FL,"Lee County, FL",224800,59.4
324,12073,Leon,FL,"Leon County, FL",203100,67.7
325,12075,Levy,FL,"Levy County, FL",105700,62.1
326,12077,Liberty,FL,"Liberty County, FL",75100,91.6
327,12079,Madison,FL,"Madison County, FL",89100,90.6
328,12081,Manatee,FL,"Manatee County, FL",238500,57.7
329,12083,Marion,FL,"Marion County, FL",139900,62.3
330,12085,Martin,FL,"Martin County, FL",273700,59.4
331,12086,Miami-Dade,FL,"Miami-Dade County, FL",289600,51.6
332,12087,Monroe,FL,"Monroe County, FL",494100,53.6
333,12089,Nassau,FL,"Nassau County, FL",230900,76.9
334,12091,Okaloosa,FL,"Okaloosa County, FL",219100,64.9
335,12093,Okeechobee,FL,"Okeechobee County, FL",106000,74.5
336,12095,Orange,FL,"Orange County, FL",235800,62.2
337,12097,Osceola,FL,"Osceola County, FL",201000,61.7
338,12099,Palm Beach,FL,"Palm Beach County, FL",283600,58.4
339,12101,Pasco,FL,"Pasco County, FL",162100,54.8
340,12103,Pinellas,FL,"Pinellas County, FL",201200,55.1
341,12105,Polk,FL,"Polk County, FL",150800,64.9
342,12107,Putnam,FL,"Putnam County, FL",89100,104.4
343,12109,St. Johns,FL,"St. Johns County, FL",304700,59.4
344,12111,St. Lucie,FL,"St. Lucie County, FL",186900,58.2
345,12113,Santa Rosa,FL,"Santa Rosa County, FL",199200,73.6
346,12115,Sarasota,FL,"Sarasota County, FL",251600,59.5
347,12117,Seminole,FL,"Seminole County, FL",242600,49.9
348,12119,Sumter,FL,"Sumter County, FL",258600,66.6
349,12121,Suwannee,FL,"Suwannee County, FL",101300,68.7
350,12123,Taylor,FL,"Taylor County, FL",85100,77.7
351,12125,Union,FL,"Union County, FL",118400,73.9
352,12127,Volusia,FL,"Volusia County, FL",175000,64.8
353,12129,Wakulla,FL,"Wakulla County, FL",144000,59.7
354,12131,Walton,FL,"Walton County, FL",229500,70.5
355,12133,Washington,FL,"Washington County, FL",113200,74.4
356,13001,Appling,GA,"Appling County, GA",80200,76.4
357,13003,Atkinson,GA,"Atkinson County, GA",62700,43.0
358,13005,Bacon,GA,"Bacon County, GA",81100,177.8
359,13007,Baker,GA,"Baker County, GA",81800,65.9
360,13009,Baldwin,GA,"Baldwin County, GA",120300,72.6
361,13011,Banks,GA,"Banks County, GA",151100,52.2
362,13013,Barrow,GA,"Barrow County, GA",159700,96.0
363,13015,Bartow,GA,"Bartow County, GA",163900,73.6
364,13017,Ben Hill,GA,"Ben Hill County, GA",83400,94.3
365,13019,Berrien,GA,"Berrien County, GA",88000,62.3
366,13021,Bibb,GA,"Bibb County, GA",120200,79.9
367,13023,Bleckley,GA,"Bleckley County, GA",102300,57.3
368,13025,Brantley,GA,"Brantley County, GA",72300,73.3
369,13027,Brooks,GA,"Brooks County, GA",107800,85.8
370,13029,Bryan,GA,"Bryan County, GA",223900,67.7
371,13031,Bulloch,GA,"Bulloch County, GA",140700,80.0
372,13033,Burke,GA,"Burke County, GA",88700,98.1
373,13035,Butts,GA,"Butts County, GA",132600,91.2
374,13039,Camden,GA,"Camden County, GA",165700,91.7
375,13043,Candler,GA,"Candler County, GA",96100,110.3
376,13045,Carroll,GA,"Carroll County, GA",137800,84.9
377,13047,Catoosa,GA,"Catoosa County, GA",144300,67.4
378,13049,Charlton,GA,"Charlton County, GA",83300,109.1
379,13051,Chatham,GA,"Chatham County, GA",194500,71.8
380,13053,Chattahoochee,GA,"Chattahoochee County, GA",71300,61.3
381,13055,Chattooga,GA,"Chattooga County, GA",72200,104.2
382,13057,Cherokee,GA,"Cherokee County, GA",253500,69.3
383,13059,Clarke,GA,"Clarke County, GA",170700,72.2
384,13061,Clay,GA,"Clay County, GA",71400,153.2
385,13063,Clayton,GA,"Clayton County, GA",108500,78.4
386,13065,Clinch,GA,"Clinch County, GA",61000,118.0
387,13067,Cobb,GA,"Cobb County, GA",253900,69.3
388,13069,Coffee,GA,"Coffee County, GA",100600,98.7
389,13071,Colquitt,GA,"Colquitt County, GA",85600,84.0
390,13073,Columbia,GA,"Columbia County, GA",203400,83.6
391,13075,Cook,GA,"Cook County, GA",87500,65.6
392,13077,Coweta,GA,"Coweta County, GA",211600,86.5
393,13079,Crawford,GA,"Crawford County, GA",93400,173.7
394,13081,Crisp,GA,"Crisp County, GA",83100,111.6
395,13083,Dade,GA,"Dade County, GA",123500,77.4
396,13085,Dawson,GA,"Dawson County, GA",230300,77.8
397,13087,Decatur,GA,"Decatur County, GA",110900,102.9
398,13089,DeKalb,GA,"DeKalb County, GA",215600,52.8
399,13091,Dodge,GA,"Dodge County, GA",76300,131.0
400,13093,Dooly,GA,"Dooly County, GA",83300,81.4
401,13095,Dougherty,GA,"Dougherty County, GA",103500,59.6
402,13097,Douglas,GA,"Douglas County, GA",161600,81.0
403,13099,Early,GA,"Early County, GA",86900,99.7
404,13101,Echols,GA,"Echols County, GA",59100,44.0
405,13103,Effingham,GA,"Effingham County, GA",163600,73.9
406,13105,Elbert,GA,"Elbert County, GA",84700,189.5
407,13107,Emanuel,GA,"Emanuel County, GA",73100,75.0
408,13109,Evans,GA,"Evans County, GA",87900,74.2
409,13111,Fannin,GA,"Fannin County, GA",197800,77.2
410,13113,Fayette,GA,"Fayette County, GA",281400,63.2
411,13115,Floyd,GA,"Floyd County, GA",132400,54.5
412,13117,Forsyth,GA,"Forsyth County, GA",339700,64.0
413,13119,Franklin,GA,"Franklin County, GA",108700,152.8
414,13121,Fulton,GA,"Fulton County, GA",313300,66.4
415,13123,Gilmer,GA,"Gilmer County, GA",177500,82.6
416,13127,Glynn,GA,"Glynn County, GA",179000,76.1
417,13129,Gordon,GA,"Gordon County, GA",136000,77.5
418,13131,Grady,GA,"Grady County, GA",119800,76.0
419,13133,Greene,GA,"Greene County, GA",210300,110.1
420,13135,Gwinnett,GA,"Gwinnett County, GA",217900,63.6
421,13137,Habersham,GA,"Habersham County, GA",150500,63.2
422,13139,Hall,GA,"Hall County, GA",201300,62.3
423,13141,Hancock,GA,"Hancock County, GA",85000,107.1
424,13143,Haralson,GA,"Haralson County, GA",124200,50.3
425,13145,Harris,GA,"Harris County, GA",217000,74.5
426,13147,Hart,GA,"Hart County, GA",137700,121.4
427,13149,Heard,GA,"Heard County, GA",109000,125.6
428,13151,Henry,GA,"Henry County, GA",175300,87.7
429,13153,Houston,GA,"Houston County, GA",142600,81.6
430,13155,Irwin,GA,"Irwin County, GA",79800,194.7
431,13157,Jackson,GA,"Jackson County, GA",189700,80.1
432,13159,Jasper,GA,"Jasper County, GA",139400,86.1
433,13161,Jeff Davis,GA,"Jeff Davis County, GA",79800,137.2
434,13163,Jefferson,GA,"Jefferson County, GA",72500,138.0
435,13165,Jenkins,GA,"Jenkins County, GA",74500,69.2
436,13167,Johnson,GA,"Johnson County, GA",64100,37.0
437,13169,Jones,GA,"Jones County, GA",124100,88.4
438,13171,Lamar,GA,"Lamar County, GA",145600,111.2
439,13173,Lanier,GA,"Lanier County, GA",114900,82.6
440,13175,Laurens,GA,"Laurens County, GA",94600,87.7
441,13177,Lee,GA,"Lee County, GA",152800,66.8
442,13179,Liberty,GA,"Liberty County, GA",124500,79.3
443,13181,Lincoln,GA,"Lincoln County, GA",127700,119.5
444,13183,Long,GA,"Long County, GA",122100,85.7
445,13185,Lowndes,GA,"Lowndes County, GA",140600,80.5
446,13187,Lumpkin,GA,"Lumpkin County, GA",185800,91.0
447,13189,McDuffie,GA,"McDuffie County, GA",109500,76.0
448,13191,McIntosh,GA,"McIntosh County, GA",128000,70.8
449,13193,Macon,GA,"Macon County, GA",63800,81.4
450,13195,Madison,GA,"Madison County, GA",131300,140.0
451,13197,Marion,GA,"Marion County, GA",90000,184.2
452,13199,Meriwether,GA,"Meriwether County, GA",103300,150.6
453,13201,Miller,GA,"Miller County, GA",89400,66.8
